,banglaname,banglishnames
537,মার্ক গ্রেটব্যাচ,Mark Greatbatch
538,মার্ক হিউজ,Mark Hughes
539,সেলিম মালিক,Saleem Malik
540,মীনাক্ষী শেষাদ্রি,Meenakshi Seshadri
541,অনিতা মুই,Anita Mui
542,মুস্তাফা খালিদ পলাশ,Mustapha Khalid Palash
543,মৃগাঙ্ক মাহাতো,Mriganko Mahato
544,মে-ব্রিট মোজের,May-Britt Moser
545,রাকেশ ওমপ্রকাশ মেহরা,Rakeysh Omprakash Mehra
546,মোহন কুমার,Mohan Kumar
547,মোহাম্মদ আবুল হুদা আল ইয়াকুবী,Muhammad al-Yaqoubi
548,মোহাম্মদ ইলিয়াছ,Mohammed Ellias
549,মোহাম্মদ শহিদ ইসলাম,Mohammad Shahid Islam
550,ডেভন ম্যালকম,Devon Malcolm
551,রফিক আজম,Rafiq Azam
552,অর্জুনা রানাতুঙ্গা,Arjuna Ranatunga
553,প্রণব রায়,Pranab Roy
554,রিচার্ড ইলিংওয়ার্থ,Richard Illingworth
555,ব্রুস রিড,Bruce Reid
556,টেপ রিন্ডারো,Tep Rindaro
557,ডারমট রিভ,Dermot Reeve
558,ললিত মোদী,Lalit Modi
559,লারস আলরিক,Lars Ulrich
560,জেট লি,Jet Li
561,রোল্যান্ড ল্যাফেব্রে,Roland Lefebvre
562,শশী পাঁজা,Shashi Panja
563,শহিদুর রহমান,Shaheedur Rahman
564,শিব আইয়াদুরাই,Shiva Ayyadurai
565,এলিজাবেথ শু,Elisabeth Shue
566,শেখ নুরুল ইসলাম,Haji Nurul Islam
567,শ্রীদেবী,Sridevi
568,সঞ্জয় লীলা বনশালি,Sanjay Leela Bhansali
569,সন্ধ্যা আগারওয়াল,Sandhya Agarwal
570,সর্বজিৎ সিং,Sarabjit Singh
571,সাইদুর রহমান ডন,Saidur Rahman Dawn
572,সাইমন ও’ডনেল,Simon O\Donnell
573,সাখিয়াজিন এলবেগদর্জ,Tsakhiagiin Elbegdorj
574,সার্গেই বুবকা,Sergey Bubka
575,সাহাব উদ্দিন আহমেদ,Sahab Uddin Ahmed
576,সি. কে. নন্দন,C. K. Nandan
577,রবিন সিং,Robin Singh
578,সিদ্দিকুর রহমান সরকার,Siddiqur Rahman Sarker
579,ফিল সিমন্স,Phil Simmons
580,স্টিভেন সোডারবার্গ,Steven Soderbergh
581,অ্যালেক স্টুয়ার্ট,Alec Stewart
582,রবিন স্মিথ,Robin Smith
583,হাছান মাহমুদ,Hasan Mahmud
584,রজার হার্পার,Roger Harper
585,হাসবি বিন হাবিবোল্লাহ,Hasbi Habibollah
586,হেলালুদ্দীন আহমদ,Helal Uddin Ahmed
587,হেলেন হান্ট,Helen Hunt
588,মাইকেল ক্রেমার,Michael Kremer
589,গীতানাস নওসেদা,Gitanas Nausėda
590,সোজাব রাজা,Shozab Raza
591,অ্যান্ডি সার্কিস,Andy Serkis
592,সোনু ওয়ালিয়া,Sonu Walia
593,অনুরাধা শর্মা পূজারী,Anuradha Sharma Pujari
594,অমিত শাহ,Amit Shah
595,অরিন্দম শীল,Arindam Sil
596,অ্যালিসন স্ট্রিটার,Alison Streeter
597,আজহার হোসেন,Azhar Hossain
598,আদেশ শ্রীবাস্তব,Aadesh Shrivastava
599,আফজাল হোসেন,Md. Afzal Hossain
600,আবেদি পেলে,Abedi Pele
601,নূরুল আবেদীন নোবেল,Nurul Abedin
602,আব্দুল ওদুদ,Md. Abdul Odud
603,আলী আজগার টগর,Md. Ali Azgar
604,ইয়ুর্গেন ক্লিন্সমান,Jürgen Klinsmann
605,ইসমাইল দরবার,Ismail Darbar
606,জিমোঁ উন্সু,Djimon Hounsou
607,এম শফিউল আজম,M Shafiul Azam
608,ফিল এমরি,Phil Emery
609,এর্নেস্তো ভালভেরদে,Ernesto Valverde
610,রনিত এলকাবেটজ,Ronit Elkabetz
611,এলহাম আমিনজাদেহ,Elham Aminzadeh
612,স্টিভ ওয়াটকিন,Steve Watkin
613,ক্লাইভ ওয়েন,Clive Owen
614,কপিলা বিজেগুণবর্ধনে,Kapila Wijegunawardene
615,কলিন মিলার,Colin Miller
616,কামরুল লায়লা জলি,Kamrul Laila Jolly
617,কে. এম. কামরুল কাদের,K. M. Kamrul Kader
618,কেয়ানু রিভস,Keanu Reeves
619,কৌসলা কুরুপ্পুয়ারাচ্চি,Kosala Kuruppuarachchi
620,গ্রেগ ক্যাম্পবেল,Greg Campbell
621,রাসেল ক্রো,Russell Crowe
622,ক্লাউস এবনার,Klaus Ebner
623,গালিব খান,Ghalib Khan
624,গুলজার উদ্দিন আহমেদ,Gulzar Uddin Ahmed
625,আশুতোষ গোয়ারিকর,Ashutosh Gowariker
626,গৌরী চৌধুরী,Gouri Choudhury
627,গৌরী প্রধান,Gauri Pradhan
628,ডন চিডল,Don Cheadle
629,ম্যাগি চেউং,Maggie Cheung
630,চৌধুরী আবদুল্লাহ আল মামুন,Chowdhury Abdullah Al-Mamun
631,অভিষেক চ্যাটার্জী,Abhishek Chatterjee
632,জনক গামাগে,Janak Gamage
633,জয়ন্ত দে,Jayanta Dey
634,জয়ন্তিলাল ভানুসালি,Jayantilal Bhanusali
635,ফরিদ জাকারিয়া,Fareed Zakaria
636,নাসরীন জাহান,Nasreen Jahan
637,জীবন রহমান,Jibon Rahman
638,জুনায়েদ জামশেদ,Junaid Jamshed
639,জেনিফার ডাউডনা,Jennifer Doudna
640,জেফ বেজোস,Jeff Bezos
641,জেমস,James
642,জেমি সিডন্স,Jamie Siddons
643,রড টাকার,Rod Tucker
644,মার্ক টেলর,Mark Taylor
645,মারিসা টোমে,Marisa Tomei
646,ফ্যানি ডি ভিলিয়ার্স,Fanie de Villiers
647,ম্যাট ডিলন,Matt Dillon
648,লাকি ডুবে,Lucky Dube
649,ড্যান ব্রাউন,Dan Brown
650,তালাল মনসুর,Talal Mansour
651,গিয়ের্মো দেল তোরো,Guillermo del Toro
652,গোলাম নওশের,Gholam Nousher
653,নাদির শাহ,Nadir Shah
654,নাসরিন ওরিয়াখিল,Nasrin Oryakhil
655,নাসির আহমেদ,Nasir Ahmed
656,নিকোলাস কেজ,Nicolas Cage
657,নূর-ই-আলম চৌধুরী,Noor-E-Alam Chowdhury Liton
658,রিচার্ড পাইবাস,Richard Pybus
659,পি. টি. ঊষা,P. T. Usha
660,পিটার নিরো,Peter Nero
661,রোজি পেরেজ,Rosie Perez
662,রশীদ প্যাটেল,Rashid Patel
663,ব্রিজেট ফন্ডা,Bridget Fonda
664,ফারান তাহির,Faran Tahir
665,ফাল্গুনী পাঠক,Falguni Pathak
666,ম্যাথু ফ্লেমিং,Matthew Fleming
667,বরিস জনসন,Boris Johnson
668,বিজয়শান্তি,Vijayashanti
669,জুলিয়েত বিনোশ,Juliette Binoche
670,বিন্দু দারা সিং,Vindu Dara Singh
671,উইনস্টন বেঞ্জামিন,Winston Benjamin
672,বেবেতো,Bebeto
673,ডেভিড ব্রেইন,David Brain
674,ভিমালাক্কা,Vimalakka
675,মঈন-উল-আতিক,Moin-ul-Atiq
676,মঞ্জিরী আত্মারাম প্রভু,Manjiri Prabhu
677,মধুমিতা বিস্ত,Madhumita Bisht
678,মনোরঞ্জন শীল গোপাল,Manoranjan Shill Gopal
679,মাইকেল লাউড্রপ,Michael Laudrup
680,মান্না,Manna
681,মারাইজ ইরাসমাস,Marais Erasmus
682,মার্ক ওয়াটার্স,Mark Waters
683,মার্কো ফন বাস্তেন,Marco van Basten
684,মাহমুদ আস-সারখী,Mahmoud al-Sarkhi
685,ছত্রধর মাহাতো,Chhatradhar Mahato
686,মিজানুর রহমান খান দিপু,Mizanur Rahman Khan Dipu
687,মিশেল ওবামা,Michelle Obama
688,মুহাম্মাদ আকরাম নাদভি,Mohammad Akram Nadwi
689,মেলিন্ডা গেটস,Melinda Gates
690,মোনা শৌরি কাপুর,Mona Shourie Kapoor
691,মোনিকা বেলুচ্চি,Monica Bellucci
692,মৌসুমী ভৌমিক,Moushumi Bhowmik
693,ম্যাক ইউরী,Mak Yuree
694,রুমেশ রত্নায়েকে,Rumesh Ratnayake
695,রাজকুমারী আলিয়া তাবাআ,Princess Alia Tabbaa
696,জাকির হোসেন রাজু,Zakir Hossain Raju
697,রাশেদ রউফ,Rashed Rouf
698,শেখ রাসেল,Sheikh Russel
699,রাহিবাঈ সোমা পপেরে,Rahibai Soma Popere
700,রিক রিঅর্ড্যান,Rick Riordan
701,রিনি সাইমন খান্না,Rini Simon Khanna
702,রুচিরা কাম্বোজ,Ruchira Kamboj
703,রেখা ভারদ্বাজ,Rekha Bhardwaj
704,লরা লিনি,Laura Linney
705,লিয়াকত হোসেন খোকা,Liyakot Hossain Khoka
706,লুচিয়ানো ফ্লোরিদি,Luciano Floridi
707,লেনি ক্রাভিট্‌জ,Lenny Kravitz
708,গ্রেইম লেব্রয়,Graeme Labrooy
709,শওকত হাচানুর রহমান রিমন,Showkat Hasanur Rahman Rimon
710,শরদিন্দু মুখার্জি,Saradindu Mukherjee
711,অজয় শর্মা,Ajay Sharma
712,শর্মিলা রেগে,Sharmila Rege
713,শাভেন্দ্র সিলভা,Shavendra Silva
714,শোভন চট্টোপাধ্যায়,Sovan Chatterjee
715,শ্রীহরি,Srihari
716,সঞ্জীব চৌধুরী,Sanjeeb Choudhury
717,সন্দীপ শঙ্কলা,Sandeep Sankhla
718,সাগরিকা ঘোষ,Sagarika Ghose
719,পিটার সাচ,Peter Such
720,সান্ড্রা বুলক,Sandra Bullock
721,সায়ন্তনী ঘোষ,Sayantani Ghosh
722,সারা ল্যাঙ্কাশায়ার,Sarah Lancashire
723,সারাহ প্যালিন,Sarah Palin
724,সৌদ আল-শুরাইম,Saud Al-Shuraim
725,স্টিভ রোডস,Steve Rhodes
726,মিল্টন স্মল,Milton Small
727,স্মিতা ভারতী,Smita Bharti
728,রুবানা হক,Rubana Huq
729,হযরত আলী,Hazrat Ali
730,হামিদ উল হক,Hamid Ul Haq
731,ইয়ান হিলি,Ian Healy
732,হুসনা আহমেদ,Husna Ahmad
733,রবার্ট হেইন্স,Robert Haynes
734,গ্যারি গর্ডন,Gary Gordon
735,মেহমেত ওজ,Mehmet Oz
736,মোহাম্মদ মিজারুল কায়েস,Mohamed Mijarul Quayes
737,অলকা সরাবগী,Alka Saraogi
738,জোনাথন অ্যাগ্নিউ,Jonathan Agnew
739,আছাদুজ্জামান মিয়া,Asaduzzaman Mia
740,আদ্রিয়ান বিরেল,Adrian Birrell
741,আবদুল্লাতিফ কাশিশ,Abdellatif Kechiche
742,আব্দুল্লাহ আব্দুল্লাহ,Abdullah Abdullah
743,আলতাফ রাজা,Altaf Raja
744,আলাউর রহমান,Alaur Rahman
745,ইওয়াখিম ল্যোভ,Joachim Löw
746,ইয়াসের সেইরাওয়ান,Yasser Seirawan
747,তানতোয়ি ইয়াহিয়া,Tantowi Yahya
748,ইসমাত জাহান,Ismat Jahan
749,এম এম শাহীন,MM Shahin
750,এম ডি বালসাম্মা,M. D. Valsamma
751,ডেনিস এমারসন,Denise Emerson
752,এমিলি থর্নবেরি,Emily Thornberry
753,এয়ার্তো সেনা,Ayrton Senna
754,এরিক বেতজিগ,Eric Betzig
755,এরিন ব্রকোভিচ,Erin Brockovich
756,এহসান খান,Ehsan Khan
757,ওমর ফারুক চৌধুরী,Omor Faruk Chowdhury
758,হুগো ওয়েভিং,Hugo Weaving
759,কামরুন নাহার চৌধুরী,Kamrun Nahar Chowdhury
760,কামরুল আশরাফ খান,Kamrul Asraf Khan
761,টিম কার্টিস,Tim Curtis
